序號,更新日期,類別,問題,解答
100,1121002,營業稅稽徵程序相關規定,納稅義務人自動向稅捐稽徵機關補報並補繳所漏稅款加計利息如何計算？,應自該項稅捐原繳納期限截止之次日起，至補繳之日止，就補繳之應納稅捐，依各年度1月1日郵政儲金1年期定期儲金固定利率，按日加計利息，一併徵收。 （稅捐稽徵法第48條之1）
101,1121002,營業稅稽徵程序相關規定,總機構及其他固定營業場所申請合併報繳營業時，應檢附那些證件？,依加值型及非加值型營業稅法第4章第1節規定計稅之營業人，總機構於申請合併申報時應填具申請函，檢附所有其他固定營業場所名冊3份，載明營利事業統一編號、稅籍編號、營業人名稱、負責人、營業所在地地址、設立日期，函請所在地主管稽徵機關核轉財政部，在未奉核准前仍應分別申報繳納。
102,1121002,營業稅稽徵程序相關規定,營利事業銷貨退回，其已報繳之營業稅如何申請退還或抵繳稅款？,一、營業人銷售貨物或勞務於開立統一發票月份以後，買受人因故未將所收受之進項統一發票收執聯及扣抵聯列帳，亦未申報扣抵銷項稅額，不能開立「銷貨退回、進貨退出或折讓證明單」者，應由營業人（賣方）憑買受人退回之原開統一發票收執聯及扣抵聯專案申報主管稽徵機關，經稽徵機關查明屬實後，其溢付稅額，准予留抵或退還。並建檔沖減營業人（賣方）銷售額。至買受人如有未依規定期限記帳者，應另行查明事實，依稅捐稽徵法第45條之規定處罰。二、營業人銷售貨物或勞務於開立統一發票後，凡買受人已依照規定申報進項稅額並扣抵銷項稅額者，事後因故發生銷貨退回或折讓者，應由買受人依照規定開立「銷貨退回、進貨退出或折讓證明單」，由進、銷雙方分別依照統一發票使用辦法第20條第2項規定辦理。（財政部75.11.26台財稅第7572872號函）
103,1121002,營業稅稽徵程序相關規定,酬勞員工、交際應酬贈送之貨物是否應開立統一發票？         ,營業人以自己產製、進口、購買之貨物酬勞員工或交際應酬應否開立發票，分兩種情形：一、原來就決定供作酬勞員工或交際應酬者，並以各該有關科目列帳，且該項貨物所支付之進項稅額未申報扣抵，即可免視為銷售貨物並免開統一發票。二、如果原來並未決定供作酬勞員工或交際應酬或捐贈，以進貨或有關損費科目列帳，且該項貨物所支付之進項稅額已申報扣抵銷項稅額者，自應於轉作酬勞員工、交際應酬時，依視為銷售貨物之規定，按時價開立統一發票。該張發票之扣抵聯應由營業人於開立後自行截角或加蓋戳記作廢，不可以申報扣抵銷項稅額。（財政部76.7.22台財稅第761112325號函）
104,1121002,營業稅稽徵程序相關規定,經核准由總機構合併總繳之營業人，其他固定營業場所應如何申報？,其他固定營業場所仍應向所在地主管稽徵機關申報進、銷項營業資料及營業人銷售額與稅額申報書，填報申報書時，應在其右上角「各單位分別申報」欄右方空格內打「V」，稅額計算欄內可以不必填寫，亦免予繳納營業稅。總機構本身個別營業部分與其他固定營業場所申報方法相同，另應填寫自行及所屬其他固定營業場所加總合計申報資料後之申報書，計算應納或溢付的營業稅額，並在右上角「總機構彙總報繳」右方空格內打「V」，其有應納稅額者，應先向公庫繳納後，再向稽徵機關申報。
105,1121002,營業稅稽徵程序相關規定,進項憑證如何整理與編號？          ,一、可扣抵進項憑證，進項稅額逾500元者(含「三聯式發票及電子計算機發票」、「三聯式收銀機發票及電子發票證明聯」及「載有稅額之其他憑證」)、「營業人銷貨退回、進貨退出或折讓證明單」、「海關退還溢繳營業稅申報單」、「載有營業稅額之海關代徵營業稅繳納證扣抵聯」須按憑證類別、期(月)分類及按「進貨及費用」或「固定資產」之性質分別裝訂白色憑證封面，「購買舊乘人小汽車及機車進項憑證明細表」適用淺綠色憑證封面。二、前項以外之進項憑證，免按期(月)分類，僅須按憑證類別及區分「進貨及費用」或「固定資產」之性質分別裝訂藍色憑證封面。三、每100張裝訂1冊，每張右下角依序編號，號碼自00至99；憑證不足100張仍應裝成1冊。憑證超過100張裝成2冊以上者，應在第1冊封面加填本期(月)憑證張數、金額及稅額之合計數；憑證不足100張裝成1冊者，仍應在該冊封面加填本期（月）憑證張數、金額及稅額之合計數。
106,1121002,營業稅稽徵程序相關規定,營業人銷貨後無法收回貨款時，原報繳的銷項稅額能否申請退還？ ,營業人銷售貨物應於發貨時開立統一發票，自應在當時開立銷項稅額，事後雖發生呆帳損失，因其銷售行為已成立，故無法申請退還銷項稅額。
107,1121002,營業稅稽徵程序相關規定,預收貨款已依規定開立發票後，實際發貨時，是否必須再開發票？,預收貨款係按預收金額開立發票，交給買受人。在實際交貨時，僅需就餘額再行開立發票即可，免再按總額開立發票。
108,1121002,營業稅稽徵程序相關規定,經稽徵機關核准留抵的稅額，其留抵期限有無限制的規定？,營業人留抵的稅額，可於後續辦理各期營業稅申報時，留抵各期營業稅應納稅額，直至無留抵稅額為止。但情形特殊者得專案申請退還。
109,1121002,營業稅稽徵程序相關規定,外銷貨品適用零稅率，其所申報的應退稅款何時可以退還？,營業人的應退稅款原則上於申報後1個月內完成退稅手續，同時營業人亦可申請採劃撥退稅，由國稅局將退稅款直接劃撥入帳，營業人在接到退稅通知的同時，就可以動用資金。
110,1121002,營業稅稽徵程序相關規定,營業人委託快遞業者出口快遞貨物如何申報適用零稅率？,營業人委託依快遞貨物通關辦法向海關登記之快遞業者運送離岸價格新臺幣5萬元以下之快遞貨物出口，可持憑該業者所出具載有寄件人名稱、統一編號、貨物名稱、數量、離岸價格及出口快遞貨物簡易申報單之託運單主、分號等資料之執據，做為申報營業稅適用零稅率之證明文件。（財政部94.5.26台財稅字第09404530580令）
111,1121002,營業稅稽徵程序相關規定,營業人於停業期限屆滿後，需展延停業期間者，是否須先行申報復業？,經核准停業登記之營業人，如於停業期限屆滿後，需展延停業期間者，尚不發生須先行申報復業之問題。
112,1121002,營業稅稽徵程序相關規定,營業人(委託人)因將財產交付信託而溢付之營業稅，可否申請退稅？,營業人（委託人）因將財產交付信託而溢付營業稅，可於信託行為之受託人依信託本旨處分信託財產後，依加值型及非加值型營業稅法第39條第2項但書規定，就受託人處分該信託財產之銷項稅額範圍內，核實退還。（財政部92.6.19台財稅字第0920453765號令） 
113,1121002,營業稅稽徵程序相關規定,利用自宅從事早餐店等，未具備牌號及僱用員工之營業人，應否辦理稅籍登記？,依據加值型及非加值型營業稅法第3條第1項及第2項規定將貨物之所有權移轉與他人，以取得代價者，為銷售貨物；提供勞務予他人，或提供貨物予他人使用、收益，以取得代價者，為銷售勞務。有關「利用自宅從事早餐店、麵攤、點心及泡沫紅茶店等，未具備牌號及僱用員工、且收入不多，每月銷售未達起徵點」之營業人，係屬銷售貨物行為，與財政部78年4月6日台財稅第781143103號函規範不直接對外銷售其產品，並不具備營利事業型態之「個人手工藝」性質並不相同，仍應辦理稅籍登記。（財政部93.1.16台財稅字第0920457998號函）
114,1121002,營業稅稽徵程序相關規定,大樓（廈）管理委員會將外牆、屋頂、陽台出租，收取租金收入，應否辦理稅籍登記課徵營業稅？,加值型及非加值型營業稅法（以下簡稱營業稅法）第1條及第8條規定，在中華民國境內銷售貨物或勞務，除稅法另有免稅規定者外，均應依法課徵營業稅。同法第2條及第6條第2款規定，非以營利為目的之事業、機關、團體、組織，有銷售貨物或勞務者，為營業稅之納稅義務人；另財政部76年8月7日台財稅第760071994號函規定，大樓（廈）管理委員會，如係基於守望相助，由該大樓（廈）各業主組織成立，無對外營業情形，可免辦稅籍登記，其向該大樓（廈）各業主所收管理費，應免徵營業稅。大樓（廈）停車場，如係按次或計時收費，或提供停車位，定期供他人停車使用按期收費對外營業者，依營業稅法第1條及第3條第2項規定，係屬銷售勞務範圍，應依同法第28條規定辦理稅籍登記並依法課徵營業稅。故以大樓（廈）管理委員會之名義與人訂立租賃契約，將大樓（廈）之外牆、屋頂、陽台出租，其收取之租金收入歸入管理委員會基金部分，係屬大樓（廈）管理委員會銷售勞務之收入，大樓（廈）管理委員會應依法辦理稅籍登記並依法課徵營業稅。（財政部93.6.29台財稅字第0930452887號函）
115,1121002,營業稅稽徵程序相關規定,銷售貨物或勞務與非營業人，發生銷貨退回或折讓時，其銷貨退回、進貨退出或折讓證明單應如何填具？,營業人銷售貨物或勞務與非營業人，發生銷貨退回或折讓等情事，買受人出具「銷貨退回、進貨退出或折讓證明單」時，得於該證明單之蓋章欄以簽名或蓋章擇一辦理，並免填寫買受人身分證統一編號。（財政部97.8.18台財稅字第09700354650號令）
116,1121002,兼營營業人營業稅額應如何計算,兼營營業人於當年度最後一期報繳營業稅時，對當年度不得扣抵比例如何調整辦理？,兼營營業人於報繳當年度最後一期營業稅時，應按當年度不得扣抵比例調整稅額後，併同最後一期營業稅額辦理申報繳納，其計算公式如下：一、採用比例扣抵法之兼營營業人：調整稅額＝當年度已扣抵之進項稅額－（當年度進項稅額－當年度依本法第19條第1項規定不得扣抵之進項稅額）×（１－當年度不得扣抵比例）（兼營營業人營業稅額計算辦法第7條）二、採用直接扣抵法之兼營營業人：調整稅額＝當年度已扣抵之進項稅額－（當年度進項稅額－當年度依本法第19條第1項規定不得扣抵之進項稅額－當年度專供免稅營業用之貨物或勞務之進項稅額－當年度共同使用之貨物或勞務之進項稅額×當年度不得扣抵比例）（兼營營業人營業稅額計算辦法第8條之2）
117,1121002,兼營營業人營業稅額應如何計算,兼營營業人於最後一期報繳營業稅時，如有購買國外勞務時當年度調整稅額如何計算？,兼營營業人於報繳當年度最後一期營業稅時，如有購買本法第36條第1項之勞務者，並應依下列公式調整：一、採用比例扣抵法：調整稅額＝當年度購買勞務給付額×徵收率×當年度不得扣抵比例－當年度購買勞務已納營業稅額 （兼營營業人營業稅額計算辦法第7條）二、採用直接扣抵法：調整稅額＝（當年度購買專供免稅營業用勞務給付額＋當年度購買供共同使用勞務給付額×當年度不得扣抵比例）×徵收率－當年度購買勞務已納營業稅額（兼營營業人營業稅額計算辦法第8條之2）                                                           
118,1121002,兼營營業人營業稅額應如何計算,兼營營業人實際營業時間未滿9個月者，如何調整計算？      ,年度中新設立、年度中成為兼營營業人或變換扣抵法後之期間未滿9個月者，當年度免辦調整，俟次年度辦理調整時併同辦理。惟兼營營業人如非屬於年度中新設立或於年度中成為兼營營業人未滿9個月之情形，而係年度中辦理停、復業，不論當年度實際營業期間長短，均應於當年度最後一期辦理年度兼營調整申報。（兼營營業人營業稅額計算辦法第7條、第8條之2、財政部82年11月18日台財稅第821501539號函及財政部89年7月29日台財稅第0890455162號函）
119,1121002,兼營營業人營業稅額應如何計算,兼營投資業務營業人，投資國外營利事業所取得之國外股利收入，應否課稅？,兼營投資業務營業人，投資國外營利事業所取得之國外股利收入，仍應併同國內股利收入彙總列入當年度最後一期之免稅銷售額申報。
120,1121002,營業稅的罰則為何,營業人未依規定申請稅籍登記經查獲應如何處罰？ ,除通知限期補辦外，處新臺幣3千元以上3萬元以下罰鍰；屆期仍未補辦者，得按次處罰。（加值型及非加值型營業稅法第45條） 
121,1121002,營業稅的罰則為何,本公司想暫停營業，但未在停業前向國稅局申報核備，經查獲會如何處罰？,除公司已向公司主管機關辦妥停業登記者，由主管稽徵機關依據公司主管機關提供資料辦理，並視為已向稽徵機關核備外，如未在停業前向國稅局申報核備，除通知限期改正或補辦外，處新臺幣1千5百元以上1萬5千元以下罰鍰；屆期仍未補辦者，得按次處罰。（加值型及非加值型營業稅法第46條）
122,1121002,營業稅的罰則為何,營業人對於應稅貨物或勞務之定價，未依規定內含營業稅，經查獲會如何處罰？,如經通知限期改正，屆期未改正者，處新臺幣1千5百元以上1萬5千元以下罰鍰。（加值型及非加值型營業稅法第48條之1）
123,1121002,營業稅的罰則為何,原為查定課徵之小規模營業人，近經核定使用發票，但一直沒去辦，是不是要罰？,要處罰，經核定使用發票而不使用者，除通知限期使用外，處新臺幣3千元以上3萬元以下罰鍰，屆期未使用得按次處罰，並得予停業處分。（加值型及非加值型營業稅法第47條）
124,1121002,營業稅的罰則為何,朋友承包水電工程借我的統一發票去開，被查獲，會怎樣處罰？,將統一發票轉供他人使用者，除通知限期改正外，處新臺幣3千元以上3萬元以下罰鍰，再被查獲將按次處罰，且可能受停止營業的處分，並有幫助他人逃漏稅之刑事責任。 （加值型及非加值型營業稅法第47條及稅捐稽徵法第43條）
125,1121002,營業稅的罰則為何,我太太開雜貨店，因嫌核定營業稅過重，拒絕接受營業稅繳款書是不是會受罰？,要處罰，拒絕接受營業稅繳款書，除通知限期繳納外，要處新臺幣3千元以上3萬元以下罰鍰，屆期仍不收受，將按次處罰，並得停止其營業。（加值型及非加值型營業稅法第47條） 
126,1121002,營業稅的罰則為何,營業人開立發票給營業人，忘記寫買受人名稱及統一編號，要不要處罰？,要處罰，凡經查獲要按發票所載銷售額處1％罰鍰，其金額最低不得少於新臺幣1千5百元，最高不得超過新臺幣1萬5千元，並得按次處罰，其第2次以後處罰部分之罰鍰為發票所載銷售額之2％，其金額最低不得少於新臺幣3千元，最高不得超過新臺幣3萬元。（加值型及非加值型營業稅法第48條）
127,1121002,營業稅的罰則為何,營業人未按規定期限申報銷售額，如何處罰？,營業人未按規定期限申報銷售額或統一發票明細表，未逾30日者，每逾2日按應納稅額加徵1％滯報金，不得少於新臺幣（下同）1千2百元，不得超過1萬2千元；逾30日者，按核定應納稅額加徵30％怠報金，不得少於3千元，不得超過3萬元，無應納稅額者，滯報金為1千2百元，怠報金為3千元。（加值型及非加值型營業稅法第49條）
128,1121002,營業稅的罰則為何,本商號應繳營業稅忘記繳納，已過限繳期，應否處罰？,納稅義務人逾期繳納稅款者，應自繳納期限屆滿之次日起，每逾3日按滯納之金額加徵百分之1滯納金；逾30日仍未繳納者，除移送強制執行外，並得停止其營業。但因不可抗力或不可歸責於納稅義務人之事由，致不能於法定期間內繳清稅捐，得於其原因消滅後10日內，提出具體證明，向稽徵機關申請延期或分期繳納經核准者，免予加徵滯納金。（加值型及非加值型營業稅法第50條、稅捐稽徵法第20條）
129,1121002,營業稅的罰則為何,滯納稅款應否加計利息？如何計算？,要徵收利息，利息計算方式為：自滯納期屆滿之次日起，至自動繳納或強制執行徵收繳納之日止，就應納稅款，依該年1月1日郵政儲金1年期定期儲金固定利率，按日計息。（加值型及非加值型營業稅法第50條）
130,1121002,營業稅的罰則為何,營業人漏開統一發票經查獲，如何處罰？,營業人漏開統一發票或於統一發票上 短開銷售額，於法定申報期限前經查獲者，應就短漏開銷售額按規定稅率計算稅額繳納稅款，處5倍以下罰鍰。但處罰金額不得超過新台幣1百萬元。 1年內經查獲達3次者，並停止其營業。（加值型及非加值型營業稅第52條）  
131,1121002,營業稅的罰則為何,短報或漏報銷售額經查獲，要不要處罰？,除追繳核定銷售額之應納稅款外，按所漏稅額處5倍以下罰鍰，並得停止其營業。（加值型及非加值型營業稅第51條、施行細則第52條） 
132,1121002,營業稅的罰則為何,申請註銷後，仍繼續營業，要如何處罰？,申請註銷登記後，或被依法停止營業後，仍繼續營業者，除追繳核定銷售額之應納稅款外，按所漏稅額處5倍以下罰鍰，並得停止其營業。（加值型及非加值型營業稅法第51條、細則第52條） 
133,1121002,營業稅的罰則為何,虛報進項稅額要如何處罰？,除追繳稅款外，按所漏稅額處5倍以下罰鍰，並得停止其營業。（加值型及非加值型營業稅法第51條、細則第52條）
134,1121002,營業稅的罰則為何,進口貨物未將關稅法第29條第3項規定之費用計入完稅價格經調整補稅者會不會被罰？,進口人進口貨物未將關稅法第29條第3項各款規定之費用，計入完稅價格內申報，經海關調整計入關稅完稅價格課徵關稅而據以補徵營業稅案件，除繳驗偽造、變造或不實之發票或憑證經海關依海關緝私條例第37條第1項規定處罰者外，免依加值型及非加值型營業稅法第 51 條第 7款規定處罰。（財政部 98.3.11台財稅字第 09800062780 號令）
135,1121002,營業稅的罰則為何,營業人以不實進項稅額憑證申報扣抵銷項稅額如何處罰？    ,營業人以不實進項稅額憑證申報扣抵銷項稅額之案件，如經查明有進貨事實者，應依營業稅法第19條第1項第1款、第51條第5款及稅捐稽徵法第44條規定補稅及擇一從重處罰；如經查明無進貨事實者，除依營業稅法第15條第1項、第3項及第51條第5款規定補稅處罰外，倘查獲有以詐術或其他不正當方法逃漏稅捐之事證，應依財政部95年2月6日台財稅字第09504508090號函發布「稅捐稽徵法第41條所定納稅義務人逃漏稅行為移送偵辦注意事項」規定移送偵辦刑責。（財政部 98.12.7台財稅字第09804577370號令）
136,1121002,如何使用統一發票,請問統一發票有那幾種？如何使用？,一、三聯式統一發票：專供營業人銷售貨物或勞務與營業人，並依一般稅額計算時使用。二、二聯式統一發票：專供營業人銷售貨物或勞務與非營業人，並依一般稅額計算時使用。三、特種統一發票：專供營業人銷售貨物或勞務並依特種稅額計算時使用。四、收銀機統一發票：專供依一般稅額計算以收銀機開立統一發票之營業人銷售貨物或勞務時使用。其使用與申報，依「營業人使用收銀機辦法」之規定辦理。五、電子發票：指營業人銷售貨物或勞務與買受人時，以網際網路或其他電子方式開立、傳輸或接收之統一發票；其應有存根檔、收執檔及存證檔。（統一發票使用辦法第7條）
137,1121002,如何使用統一發票,經營買賣業的營業人應於何時開立統一發票？,買賣業銷售貨物，應於發貨時開立統一發票，但發貨前已預收的貨款，應於收款時先行開立統一發票。若買賣雙方書面約定銷售的貨物須經買受人承認，買賣契約始生效力者，則於買受人承認時開立。（營業人開立銷售憑證時限表）                                                     
138,1121002,如何使用統一發票,營業人銷售貨物與營業人可否開立二聯式統一發票？      ,不可以，應開立三聯式統一發票，否則應依營業稅法第48條規定論處。（財政部78.3.16台財稅第781142042號函）
139,1121002,如何使用統一發票,營利事業供本業及附屬業務使用之贈送樣品，要不要開立發票？,營利事業供本業及附屬業務使用之贈送樣品、辦理抽獎贈送獎品、銷貨附送贈品及依合約規定售後服務免費換修零件者，所贈送之物品及免費換修之零件，除應設帳記載外，可免開立統一發票。（財政部75.12.29台財稅第7523583號函）
140,1121002,如何使用統一發票,營業人取得之賠償收入應否開立統一發票？                                                                     ,營業人非因銷售貨物或勞務取得之賠償收入免開統一發票。（統一發票使用辦法第4條第29款）
141,1121002,如何使用統一發票,統一發票專用章的內容如何？          ,應刊明營業人名稱、統一編號、地址及「統一發票專用章」字樣，統一編號應使用標準5號黑體字之阿拉伯數字。 （統一發票使用辦法第5條）
142,1121002,如何使用統一發票,一次交易中有不同課稅別之貨物，如何開立發票？            ,同一買受人一次交易事項中包括不同課稅別之貨物或勞務時，應按應稅、免稅與零稅率分別開立，並於統一發票明細表課稅別欄註記。（統一發票使用辦法第8條）
143,1121002,如何使用統一發票,每筆銷售額未滿50元之交易如何開立統一發票？,營業人每筆銷售額與銷項稅額合計未滿新臺幣50元之交易，除買受人要求外，得免逐筆開立發票，但應於每日營業終了時，按總金額彙開1張統一發票，註明「彙開」字樣，並於當期統一發票明細表備考欄註明「按日彙開」。但營業人以網際網路或其他電子方式開立電子發票、使用收銀機開立統一發票、使用收銀機收據代替逐筆開立統一發票，或以自動販賣機銷售貨物或勞務經核定使用統一發票者，不適用彙開之規定。（統一發票使用辦法第15條）
144,1121002,如何使用統一發票,依規定收款時為開立發票時限者，收受支票如何開立？,依規定以收款時為開立發票時限者，其收受之支票，得於票載日開立統一 發票。（統一發票使用辦法第16條）
145,1121002,如何使用統一發票,經營外銷業務者應否開立統一發票，其銷售額應如何計算及申報？,一、營業人外銷貨物、與外銷有關之勞務或在國內提供而在國外使用之勞務，得免開立統一發票。二、營業人直接外銷貨物予國外買受人者，應於報關當日按海關公布報關適用之匯率換算銷售額；其未經報關而係委託郵局或依法核准設立從事國際間快遞業務之營業人運送貨物外銷者，則應以郵局或快遞業者所核發執據之日期及金額為準，其金額屬外幣者，則以當日往來銀行買進外匯匯率換算銷售額。至營業人銷售與外銷有關之勞務或在國內提供而在國外使用之勞務，應以收款日為準，並以當日往來銀行買進外匯匯率換算銷售額。（統一發票使用辦法第4條第33款）（財政部86.7.10台財稅第861905764號函）
146,1121002,如何使用統一發票,營業人開立發票後，發生銷貨退回或折讓，應如何處理？,一、開立統一發票之銷售額尚未申報者，買受人為非營業人時，應收回收執聯；買受人為營業人時，應收回收執聯及扣抵聯，黏於原存根聯上並註明「作廢」。但買受人為營業人，且原統一發票載有買受人之名稱及統一編號者，得以買受人出具之銷貨退回、進貨退出或折讓證明單代之。二、開立統一發票之銷售額已申報者，如買受人為營業人，應取得買受人出具之銷貨退回、進貨退出或折讓證明單，但以原統一發票載明買受人名稱、統一編號者為限。三、開立統一發票銷售額已申報者，如買受人為非營業人，除應取得買受人出具之銷貨退回、進貨退出或折讓證明單外，並應取回原收執聯。如收執聯無法收回，得以收執聯影本替代。但雙方訂有合約，且原統一發票載明買受人名稱及地址者，可免收回原開立統一發票收執聯。四、使用電子發票之營業人，經買賣雙方合意銷貨退回、進貨退出或折讓，得以網際網路或其他電子方式開立、傳輸或接收銷貨退回、進貨退出或折讓證明單，其應有存根檔、收執檔及存證檔。（統一發票使用辦法第20條及第20條之1）
147,1121002,如何使用統一發票,統一發票遺失，應如何辦理？,一、遺失空白發票：應即日敘明原因及遺失之統一發票種類、字軌號碼，向主管稽徵機關申報核銷。二、遺失存根聯：取得買受人蓋章證明之原收執聯影本代替。三、遺失扣抵聯或收執聯：取得原銷售營業人蓋章證明之存根聯影本或以未遺失聯之影本自行蓋章證明者，得以影本替代扣抵聯或收執聯作為進項稅額扣抵憑證或記帳憑證。（統一發票使用辦法第23條）
148,1121002,如何使用統一發票,統一發票書寫錯誤，應如何處理？ ,營業人開立統一發票有第9條第1項規定應記載事項記載錯誤情事者，應另行開立，該誤寫之統一發票收執聯及扣抵聯註明「作廢」字樣，黏貼於存根聯上，如為電子發票，已列印之電子發票證明聯應收回註明「作廢」字樣，並均應於當期之統一發票明細表註明。（統一發票使用辦法第24條）
149,1121002,如何使用統一發票,買受人名稱及統一編號寫錯可否更改？,營業人開立統一發票有第9條第1項規定應記載事項記載錯誤情事者，應另行開立，該誤寫之統一發票收執聯及扣抵聯註明「作廢」字樣，黏貼於存根聯上，如為電子發票，已列印之電子發票證明聯應收回註明「作廢」字樣，並均應於當期之統一發票明細表註明。（統一發票使用辦法第24條）
150,1121002,如何使用統一發票,營業人當期購買之收銀機統一發票剩餘空白未使用部分如何處理？,營業人對當期購買之收銀機統一發票剩餘空白未使用部分，除採電磁紀錄媒體申報及網際網路申報之營業人外，應依規定格式填具銷燬清冊，於每期申報銷售額時，併同營業稅申報書送交主管稽徵機關後，於申報當月24日前自行銷燬。如自行銷燬有困難者，應於每期申報銷售額時，併同營業稅申報書及銷燬清冊，繳回主管稽徵機關清點查收後銷燬。（營業人使用收銀機辦法第9條）
151,1121002,如何使用統一發票,營業人或未申請稅籍登記而擅自營業之營業人取得之統一發票收執聯，是否適用統一發票給獎辦法？,統一發票給獎辦法在鼓勵消費者購物索取統一發票以防止逃漏，不論是營業人或未申請稅籍登記而擅自營業之營業人取得之統一發票均不在該辦法鼓勵範圍，並不適用。(統一發票給獎辦法第11條第1項第9款、財政部108.1.7台財稅字第10704616110號令)
152,1121002,如何使用統一發票,營業人可否申請按月彙總開立統一發票？,營業人符合下列條件者，得檢附申請書及列有買受營業人名稱、地址及統一編號之名冊向所在地主管稽徵機關申請核准，就名冊內營業人銷售貨物或勞務，按月彙總於當月月底開立統一發票：一、無積欠已確定之營業稅及罰鍰、營利事業所得稅及罰鍰者。 二、最近2年度之營利事業所得稅係委託會計師查核簽證申報或經核准使用藍色申報書者。 （統一發票使用辦法第15條之1）
153,1121002,如何使用統一發票,公司依企業併購法辦理合併，消滅公司移轉貨物及勞務與存續或新設公司是否須開立發票？,一、公司依企業併購法辦理合併，消滅公司移轉貨物及勞務與存續或新設公司，依同法第39條第1項第4款規定，既非屬營業稅課稅範圍，消滅公司毋須開立統一發票。二、至消滅公司之營業稅累積留抵稅額，依加值型及非加值型營業稅法第39條第1項第3款及稅捐稽徵法施行細則第5條前段規定，應退還予合併後存續或新設之公司受領。（財政部 93.1.14台財稅字第0920457423號令）
154,1121002,如何使用統一發票,折價收買金融機構不良債權以外之無追索權應收帳款，要開立統一發票嗎？       ,依加值型及非加值型營業稅法第4章第1節規定計算稅額之營業人，折價收買金融機構不良債權以外之無追索權應收帳款，應於轉售該筆應收帳款取得價款或自行催收收回金額大於原始購買價格時，按其差額認列利息收入，開立二聯式統一發票，其收執聯由開立人自行留存備查。（財政部 98.8.27台財稅字第09800386610號令）
155,1121002,營利事業會計帳簿憑證應如何管理,營業人應設立那些帳簿？,應設置下列帳簿並於使用前逐頁編號，且自81年度起免再使用前送主管稽徵機關驗印。一、買賣業：日記簿、總分類帳、存貨明細帳、其他必要之補助帳簿。二、製造業：日記簿、總分類帳、原物料明細帳、在製品明細帳、製成品明細帳、生產日報表、其他必要之補助帳簿。三、營建業：日記簿、總分類帳、在建工程明細帳、施工日報表、其他必要之補助帳簿。四、勞務業及其他各業：日記簿、總分類帳、營運量紀錄簿、其他必要之補助帳簿。五、免用統一發票之小規模營利事業：簡易日記簿。（稅捐稽徵機關管理營利事業會計帳簿憑證辦法第2條及第5條）
156,1121002,營利事業會計帳簿憑證應如何管理,會計帳簿應保存多久？,除有關未結會計事項者外，應於會計年度決算程序終了後，至少保存10年，但因不可抗力之災害而毀損或滅失，報經主管稽徵機關查明屬實者，不在此限。（稅捐稽徵機關管理營利事業會計帳簿憑證辦法第26條） 
157,1121002,營利事業會計帳簿憑證應如何管理,會計憑證應保存多久？       ,除應永久保存或有關未結會計事項者外，應於會計年度決算程序終了後，至少保存5年。（稅捐稽徵機關管理營利事業會計帳簿憑證辦法第27條）
158,1121002,營利事業會計帳簿憑證應如何管理,遺失統一發票購票證，應如何處理？,應即日將該購票證號碼申報主管稽徵機關核備，並請領新證。（統一發票使用辦法第6條）
159,1121002,營利事業會計帳簿憑證應如何管理,如何使用電子方式處理會計資料？,營利事業如果使用電子方式處理會計資料，應依商業會計法第40條及商業使用電子方式處理會計資料辦法之規定辦理。（稅捐稽徵機關管理營利事業會計帳簿憑證辦法第9條）
160,1121002,營利事業會計帳簿憑證應如何管理,營業人使用收銀機開立統一發票，發票存根聯如何保存？,營業人使用之收銀機具媒體儲存發票存根聯資料功能者，得以該項媒體資料代替發票存根聯依規定年限保存。此外，營業人符合下列條件者，其經營零售業務部門所開立之收銀機發票存根聯，得報經營業稅主管稽徵機關核准後於各該期營業稅報繳後屆滿9個月銷燬，並以收銀機日報表及統一發票明細表存查聯代替，依規定年限保存：一、無積欠已確定之營利事業所得稅及罰鍰。二、會計制度健全，內部稽核與內部控制訂有管理或管制措施規範者。三、當年度營利事業所得稅結算申報，委託會計師查核簽證申報，或經核准使用藍色申報書者。四、最近半年內，總分支機構合計平均每月使用二聯式收銀機統一發票達50000份以上者。（財政部101.6.4台財稅字第10100565330號函）
